source_row,product_code,product_name,brand,category_name,unit,mrp,selling_price,cost_price,margin_percentage,stock_quantity,source_hsn_code,source_gst_percent,source_alias_name,source_generic_name,source_sub_category,source_created_date
522,LEGACY-XLS-74537,ON CALL EXTRA BLOOD GLUCOSE TEST STRIP 25S,ACON LABORATORIES INC,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,22.50,22.50,10.95,51.33,0.00,382290,5.00,ON CALL EXTRA BLOOD GLUCOSE TEST STRIP 25S,,OTX,05/05/2026
523,LEGACY-XLS-74551,OATS 400GM-SAFFOLA,MARICO LIMITED,VITAMINS & SUPPLEMENTS-HW,1 pack,78.00,78.00,60.35,22.63,1.00,11041200,5.00,OATS 400GM-SAFFOLA,,OTC,05/05/2026
524,LEGACY-XLS-74606,DIGITAL WEIGHING SCALE SW 02 180KG,,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1179.00,1179.00,593.22,49.68,0.00,84231000,18.00,DIGITAL WEIGHING SCALE SW 02 180KG,,OTX,09/05/2026
525,LEGACY-XLS-74748,BERBERINE HCL+ CAP 30S-WELLBEING,,VITAMINS & SUPPLEMENTS-HW,1 pack,1799.00,1799.00,1008.96,43.92,0.00,21069099,5.00,BERBERINE HCL+ CAP 30S-WELLBEING,,BRAND-RX,23/05/2026
526,LEGACY-XLS-74750,VITAL BLOOD TUBING SET,,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,346.00,346.00,115.00,66.76,5.00,90189023,5.00,VITAL BLOOD TUBIMG SET,,OTX,24/05/2026
527,LEGACY-XLS-74752,IV SET NATIONAL-MEDWELL,,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,236.00,236.00,10.00,95.76,0.00,90189099,5.00,IV SET NATIONAL-MEDWELL,,OTX,24/05/2026
528,LEGACY-XLS-74770,AUTOMATIC BLOOD PRESSURE MONITOR HEM 7181-OMRON,OMRON HEALTHCARE INDIA PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,2290.00,2290.00,1714.29,25.14,0.00,90189011,5.00,AUTOMATIC BLOOD PRESSURE MONITOR HEM 7181-OMRON,,OMRON(TAG),26/05/2026
529,LEGACY-XLS-74775,PROTINEX ORIGINAL 400GM PWD,NUTRICIA INTERNATIONAL PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,665.00,665.00,555.60,16.45,2.00,21069099,5.00,PROTINEX ORIGINAL 400GM PWD,,PROTINEX(TAG),27/05/2026
530,LEGACY-XLS-74829,JOINTUP 2 TAB,BIOTICS LAB LIFE SERVICES PVT LTD,VITAMINS & SUPPLEMENTS-HW,10 pack,0.00,0.00,0.00,0.00,0.00,21069099,5.00,JOINTUP 2 TAB,UNDENATURED COLLAGEN TYPE II-VITAMIN D-CHONDROITIN SULFATE-SODIUM HYALURONATE-VITAMIN C-BOSWELLIA SERRATA EXTRACT-NANO CURCUMIN EXTRACT-ASTAXANTHIN,BRAND-RX,02/06/2026
531,LEGACY-XLS-74888,AUTOMATIC BLOOD PRESSURE MONITOR HEM 7183T1 FLB-OMRON,OMRON HEALTHCARE INDIA PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,3690.00,3690.00,2285.71,38.06,4.00,90189011,5.00,AUTOMATIC BLOOD PRESSURE MONITOR HEM 7183T1 FLB-OMRON,,OMRON(TAG),06/06/2026
532,LEGACY-XLS-74890,MAXVIDA HPHF ORANGE 400GM PWD,G S PHARMBUTOR PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1326.00,1326.00,1060.80,20.00,0.00,21061000,5.00,MAXVIDA HPHF ORANGE 400GM PWD,,OTX,08/06/2026
